osm_id,network_id
21925,{'273167'}
20497,set()
19102,set()
470,set()
7951,{'287654'}
23719,{'29806'}
10535,{'280224'}
17049,set()
25993,{'494938'}
26982,{'483518'}
21650,{'460228'}
3511,"{'525071', '83980'}"
21122,"{'183639', '280224'}"
16074,{'517839'}
4914,set()
22981,set()
3213,set()
24683,"{'571985', '537551'}"
6845,{'357362'}
10021,{'532273'}
14856,{'154173'}
5869,set()
14219,{'297255'}
7555,set()
9581,set()
19062,{'571954'}
1683,set()
6519,{'516442'}
29692,{'423944'}
11155,{'550125'}
7237,{'231823'}
13275,{'545694'}
3854,set()
30108,{'351960'}
11715,{'551835'}
29832,{'273167'}
690,set()
13265,{'252027'}
10706,set()
10849,{'551138'}
22610,{'232723'}
26926,{'308785'}
116,{'284696'}
3028,{'474848'}
9209,{'154483'}
19799,{'224643'}
5710,{'280224'}
15826,{'489937'}
22887,set()
11383,{'571664'}
12302,{'459907'}
6708,{'570606'}
15889,set()
29712,{'516442'}
25176,{'308784'}
29577,{'420042'}
20011,set()
21281,set()
14955,{'494938'}
19603,{'557621'}
8034,set()
21199,{'551308'}
8024,{'20490'}
13158,{'467315'}
9201,{'154483'}
5329,{'516474'}
18475,{'459660'}
3067,set()
5311,{'284801'}
14977,set()
30076,{'351960'}
24319,{'321959'}
6411,set()
6725,{'423984'}
6582,{'430927'}
24556,set()
1438,set()
4719,{'106915'}
8273,{'297255'}
26760,set()
15470,{'319139'}
15194,set()
29638,set()
6375,{'297072'}
4225,set()
28092,{'385512'}
9699,set()
24523,set()
26149,{'494938'}
27401,set()
4387,{'252071'}
3941,{'570606'}
13352,"{'467325', '487948'}"
11258,{'486914'}
20592,set()
19718,"{'552320', '557621'}"
29030,{'198457'}
28361,set()
179,set()
23166,{'88072'}
26733,set()
1832,set()
19374,{'467184'}
14352,set()
27862,set()
2949,{'273167'}
21848,{'542811'}
4718,{'106915'}
6663,{'48795'}
29023,{'271429'}
14575,{'415419'}
13484,set()
8186,{'284785'}
20765,{'551280'}
30044,"{'979', '343793'}"
19714,{'552320'}
6608,set()
13767,"{'494721', '441039'}"
5774,set()
2056,{'424200'}
29278,set()
10338,set()
27212,set()
26422,{'557621'}
10953,"{'426280', '484560'}"
6780,set()
25998,set()
